epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
41,1238.35,0.28103,0.08755,0.03104,0.19451,0.79335,0.99975,1,0.99499,0.97989,0.99404,0.99429,0.99032,0.99009,0.21769,0.06112,0.00072,0.14368,0.73504,0.000905463,0.000905463,0.000905463
42,1267.12,0.28048,0.09076,0.03193,0.19321,0.79821,0.99935,1,0.99498,0.98087,0.99129,0.99193,0.98711,0.98546,0.21098,0.08088,0.00061,0.14282,0.73463,0.000900844,0.000900844,0.000900844
43,1295.74,0.28579,0.11565,0.03195,0.19595,0.79735,0.99992,1,0.995,0.98035,0.99461,0.99469,0.98981,0.98816,0.21019,0.06696,0.00082,0.13959,0.73506,0.000896127,0.000896127,0.000896127
44,1324.41,0.27851,0.0817,0.02835,0.19073,0.79534,0.9998,0.99995,0.99496,0.98083,0.99508,0.99523,0.99097,0.98891,0.21185,0.06598,0.00064,0.1395,0.7346,0.000891313,0.000891313,0.000891313
45,1352.97,0.27878,0.08179,0.02887,0.18969,0.79861,0.99974,1,0.995,0.98225,0.99443,0.99469,0.99101,0.98933,0.20626,0.07237,0.00064,0.13621,0.73376,0.000886404,0.000886404,0.000886404
46,1381.54,0.27104,0.07962,0.02712,0.1863,0.79548,0.99979,1,0.99499,0.98204,0.9933,0.99351,0.98934,0.98847,0.20513,0.06321,0.00061,0.13574,0.73387,0.000881401,0.000881401,0.000881401
47,1410.19,0.27491,0.07617,0.03051,0.18888,0.79593,0.99994,1,0.995,0.98166,0.99541,0.99547,0.99105,0.98974,0.20625,0.05819,0.00059,0.13573,0.73372,0.000876305,0.000876305,0.000876305
48,1438.69,0.26942,0.09183,0.02558,0.18634,0.7946,0.99997,1,0.995,0.98243,0.99485,0.99488,0.99004,0.9885,0.20061,0.06293,0.00055,0.13629,0.73358,0.000871117,0.000871117,0.000871117
49,1467.24,0.27446,0.08572,0.02704,0.18609,0.79522,0.99975,1,0.995,0.9831,0.98932,0.98957,0.98432,0.9815,0.20425,0.09586,0.00053,0.13552,0.73384,0.000865839,0.000865839,0.000865839
50,1495.92,0.27242,0.07187,0.02886,0.18418,0.79705,1,0.99995,0.995,0.98266,0.99626,0.99621,0.99223,0.9914,0.19726,0.04944,0.00051,0.1301,0.73344,0.000860473,0.000860473,0.000860473
